hepatitis "es una enfermedad inflamatoria que afecta al hígado."
rubéola "es una infección que afecta prioritariamente a la piel y los ganglios linfáticos."
aciclovir " es un fármaco antiviral derivado de la guanosina que se usa en el tratamiento de las infecciones producidas por el virus varicela-zóster"
arterias "es cada uno de los vasos que llevan la sangre desde el corazón hacia los capilares del cuerpo."
trombosis "es un coágulo sanguíneo que se forma en una vena profunda en el cuerpo"
embolia "está relacionada con una alteración en la coagulación sanguínea y puede tener consecuencias muy graves"
epitelio "Tejido constituido por células íntimamente unidas, planas o prismáticas, que recubre la superficie externa del cuerpo y de ciertos órganos interiores."
adrenocortical "Relacionado con la capa externa de la glándula suprarrenal (corteza suprarrenal) o elaborado por ella."
endoscópico "que consiste en la introducción de una cámara o lente dentro de un tubo o endoscopio a través de un orificio natural, una incisión quirúrgica o una lesión para la visualización de un órgano hueco o cavidad corporal."
biopsia "Examen microscópico de un trozo de tejido o una parte de líquido orgánico que se extrae de un ser vivo."
fibrobroncoscopia "La fibrobroncoscopía (FBC) es un procedimiento endoscópico que permite visualizar la vía aérea por dentro, tomar biopsias o realizar tratamientos locales."
mediastinales "parte del tórax que está entre el esternón y la columna vertebral, y entre los pulmones"
dismórﬁco "preocupación obsesiva por un defecto percibido en las características físicas."
esquizofrenia "Nombre genérico de un grupo de enfermedades mentales que se caracterizan por alteraciones de la personalidad, alucinaciones y pérdida del contacto con la realidad."
lamotilidad "término de la biología para expresar la habilidad de moverse espontánea e independientemente"
meninges " son las tres membranas de tejido conjuntivo que recubren el cerebro y la médula espinal"
keratoconjuntivitis "inflamación de la córnea y la conjuntiva."
togavirus "es una familia de virus"
alucinaciones "Epilepsia que involucra una parte del cerebro llamada lóbulo temporal"
epigenéticos "hace referencia al estudio de los factores que, sin corresponderse a elementos de la genética clásica"
valvulitis "Proceso inflamatorio de una válvula, principalmente de una válvula cardíaca."
ateroesclerosis "Es una afección, también llamada ateroesclerosis, que ocurre cuando se acumulan grasa, colesterol y otras sustancias en las paredes de las arterias."
fotosensibilidad "es una palabra utilizada para describir la sensibilidad a la luz ultravioleta (UV) de la luz solar y otras fuentes de luz."
gastritis "Gastritis es la inflamación de la mucosa gástrica, que en la gastroscopía se ve enrojecida, presentándose en forma de manchas rojizas"
ﬁbroblastos "es un tipo de célula residente del tejido conectivo propiamente dicho, ya que nace y muere ahí."
capilares "adjetivo que nombre todo lo relativo o perteneciente al cabello"
plaquetas "son pequeños fragmentos de células sanguíneas."
andrógeno "son hormonas sexuales masculinas y corresponden a la testosterona, la androsterona y la androstenediona"
rutilante "Que rutila o brilla."
hemorrágicos " grupo de afecciones en las cuales hay un problema con el proceso de coagulación sanguínea del cuerpo."
desmopresina "se usa para controlar los síntomas de un determinado tipo de diabetes insípida"
hematopoyético "es el responsable de la producción de células sanguíneas."
mielodisplasia "Conjunto de trastornos ocasionados por la interrupción en la producción de células sanguíneas."
eritropoyetina "Proteína, segregada principalmente por el riñón en el adulto y por el hígado en el feto, que estimula la producción de glóbulos rojos."
farnestil "Incisión transversal arqueada de convexidad inferior y concavidad superior, practicada justo por encima de la sínfisis púbica y que se extiende lateralmente más allá del borde lateral de los músculos rectos anteriores a ambos lados a partir de la línea media."
hidrocefalia "Aumento anormal de la cantidad de líquido cefalorraquídeo en las cavidades del cerebro."
adherencia "Acción de adherir o adherirse."
agudo "Que termina en punta o en filo y puede cortar o pinchar con facilidad."
alcohol "Bebida que contiene alcohol etílico."
aneurisma "Dilatación anormal de las paredes de una arteria o una vena."
anormales "Que es distinto de lo general o de lo común."
antihipertensivos "Designa toda sustancia o procedimiento que reduce la presión arterial."
aorta "Arteria principal de los vertebrados."
arteriolar "Vaso sanguíneo de diámetro menor de 40 o 100 micras."
arteriovenosos "arterial y venoso al mismo tiempo."
autocontrol "Capacidad de control o dominio sobre uno mismo."
cardiaco "Del corazón o relacionado con él."
cerebral "Del cerebro o relacionado con él."
cobre "Color pardo rojizo, como el de este metal."
coronaria "Rueda de reloj que dirige la aguja de los segundos."
creatinina "Producto final del metabolismo de la creatina que se encuentra en el tejido muscular y en la sangre de los vertebrados y que se excreta por la orina."
daño "Perjuicio, mal o desgracia."
diastólica "De la diástole o relacionado con ella."
disecante "Este vocablo hace referencia como participio activo de diseca, que quiere decir el que diseca 
ecocardiograma "Gráfico que registra la posición y los movimientos del corazón mediante ondas ultrasónicas."
