Granuloma "Tumor inflamatorio compuesto por tejidos de granulación"
Hemina "se utiliza en medicina legal para el reconocimiento de manchas de sangre"
Higiene "técnicas para conservar y mejorar la salud"
Inapetencia "Falta de apetito"
Incapacidad "Falta de capacidad para llevar a cabo una vida normal"
Latente "proceso que no presenta manifestación externa"
Mesoterapia "Medicina tradicional que se caracteriza por el método de administración de los medicamentos"
Mielograma "Fórmula citológica de la médula ósea"
Ortodoncia "estudio de las anomalías, deformaciones y alteraciones en la posición de los dientes"
Parche "Estructura de pequeño tamaño que se adhiere a la piel"
Radiotoxicidad "Toxicidad provocada por las radiaciones ionizantes sobre células y tejidos vivos"
Sedentarismo "En una persona, carencia de actividad física regular"
neurocisticercosis "es una enfermedad del sistema nervioso central de origen parasitario que genera una alta morbilidad"
grampositivos "aquellas bacterias que se tiñen de azul oscuro o violeta por la tinción de Gram"
Anaerobios "Los organismos anaerobios o anaeróbicos son los que no utilizan oxígeno (O2) en su metabolismo"
ﬂuoroquinolonas "Las ﬂuoroquinolonas son un grupo de agentes quimioterapeuticos sintéticos"
foliculitis "La foliculitis es la inflamación de uno o más folículos pilosos"
Staphylococcus "Staphylococcus is a genus of Gram-positive bacteria"
NEFROLOGÍA "La nefrología es la especialidad médica rama de la medicina interna que se ocupa del estudio de la estructura y la función renal"
Nefrotóxicos "La nefrotoxicidad es la toxicidad ejercida sobre los riñones"
glomerular "The glomerulus and its surrounding Bowman's capsule constitute a renal corpuscle, the basic filtration unit of the kidney"
subaracnoideo "El espacio subaracnoideo o espacio leptomeníngeo se encuentra situado entre la aracnoides y la piamadre"
hematoencefálica "La barrera hematoencefálica es un sistema de protección contra la entrada de sustancias extrañas formada por células endoteliales que recubren los capilares del cerebro"
poliarteritis "La poliarteritis nodosa o panarteritis nudosa (PAN) es una vasculitis necrotizante diseminada que afecta a arterias musculares de mediano y pequeño calibre"
ENDOCRINOLOGÍA "La endocrinología es una disciplina de la medicina que estudia el sistema endocrino y las enfermedades provocadas por un funcionamiento inadecuado del mismo"
pituitarias "una planta mediterránea venenosa y medicinal"
